types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Convert109962414,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/Artist,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://umbel.org/umbel/rc/MusicalPerformer,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://schema.org/Person,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatCashvilleRecordsArtists,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatPeopleFromNewYork,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatPeopleFromNewYorkCity,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatAfrican-AmericanMaleRappers,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatAfrican-AmericanRecordProducers,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Rapper110507482,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://schema.org/MusicGroup,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://www.wikidata.org/entity/Q483501,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatConvertsToIslam,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatEastCoastHipHopMusicians,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatAmericanHipHopRecordProducers,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/E.D.I._Mean,Edidon,74,0,0.9999999724478352,0.0,1,24,== Discography == | === Singles ===
