types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHunterCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatFemaleCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatFictionalFairiesAndSprites,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatFictionalSeaCreatures,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatFinalFantasyCharacters,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatFinalFantasyXCharacters,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatOrphanCharactersInVideoGames,http://dbpedia.org/resource/Characters_of_Final_Fantasy_X_and_X-2,Shuyin,291,45,1.0,0.0,0,88,== Filmography == | === Video games ===
