types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Station,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/RadioStation104044119,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/Station104306080,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Springbok_Radio,Springbok Radio,85,40,0.999999999999801,0.0,4,4,== Background == | === Music career ===
http://dbpedia.org/ontology/Grape,http://dbpedia.org/resource/Biltong,Biltong,58,134,0.9999999999064356,0.0,0,7,== Background == | === Television career ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInJohannesburg,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/WikicatCasinosCompletedIn2000,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/WikicatCasinosInSouthAfrica,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Casino102977936,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/GamblingHouse103413428,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Montecasino,Montecasino,27,117,1.0,0.0,1,9,== Background == | === Theatre career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/ontology/Island,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/WikicatDresses,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Woman'sClothing104596852,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/WikicatSkirts,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/ClothCovering103050026,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Dress103236735,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Skirt104231272,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Pareo,Pareo,27,30,1.0,0.0,0,12,== Filmography == | === Films ===
