types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/CommandingOfficer109941964,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Wikicat20th-centuryClassicalComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Wikicat20th-centuryComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatEnglishComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatFemaleFilmScoreComposers,http://dbpedia.org/resource/Elisabeth_Lutyens,Elizabeth Lutyens,108,88,1.0,0.0,1,6,== Biography == | === Career ===
