types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Photographer110426749,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Producer110480018,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatContemporaryArtists,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatFilmProducers,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatAmericanArtists,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatAmericanPerformanceArtists,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatAmericanPhotographers,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatAmericanWomenPhotographers,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatWarholSuperstars,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Brigid_Berlin,Brigid Berlin,58,69,1.0,0.0,1,41,== Works == | === Filmography ===
