types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Social_media_use_by_Donald_Trump,tweeted,162,99,0.6436111497972301,0.5537330255848475,11,12,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Superior110676018,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Supervisor110676877,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/Wikicat21st-centuryEnglishActresses,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/WikicatEnglishDramatistsAndPlaywrights,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/WikicatEnglishFilmActresses,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/WikicatEnglishStageActresses,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/WikicatEnglishTelevisionActresses,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://dbpedia.org/class/yago/WikicatEnglishTheatreDirectors,http://dbpedia.org/resource/Phoebe_Waller-Bridge,Phoebe Waller-Bridge,153,88,1.0,0.0,1,13,== Career == | === 2020–present: Punisher ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Murder_of_Botham_Jean,Botham Jean,19,183,1.0,0.0,0,19,== Personal life == | === Politics ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Murder_of_Botham_Jean,Botham Jean,19,183,1.0,0.0,0,19,== Personal life == | === Politics ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/First_impeachment_trial_of_Donald_Trump,impeachment trial,171,306,1.0,8.294557910379663e-15,0,19,== Personal life == | === Politics ===
