types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eerik_Siikasaari,Eerik Siikasaari,8,71,1.0,0.0,1,5,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatFinnishSingers,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://dbpedia.org/class/yago/WikicatFinnishSongwriters,http://dbpedia.org/resource/Mikko_Kuustonen,Mikko Kuustonen,20,27,1.0,0.0,1,11,== Discography == | === Solo albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jarmo_Saari,Jarmo Saari,7,26,1.0,0.0,1,15,== Discography == | === Solo albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatJazzComposers,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatJazzPianists,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Wikicat20th-centuryComposers,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Wikicat21st-centuryComposers,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatFinnishComposers,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatFinnishJazzPianists,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatFinnishPianists,http://dbpedia.org/resource/Jukka_Linkola,Jukka Linkola,19,5,1.0,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/ontology/Station,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatRadioStationsEstablishedIn1990,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatRadioStationsInFinland,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/BroadcastingStation102903405,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/RadioStation104044119,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Station104306080,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Radiomafia,Radiomafia,14,44,0.9999999999963052,0.0,0,18,== Discography == | === Collaborations ===
