types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Willie_Wilcox,Willie Wilcox,36,128,1.0,0.0,2,3,== Career == | === Musician ===
http://dbpedia.org/class/yago/WikicatComputerHardwareStandards,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Format106636806,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/MPU-401,MPU-401,45,116,1.0,0.0,2,7,== Career == | === Programmer ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/WikicatCompaniesBasedInToronto,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/WikicatComputerCompanies,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/WikicatComputerGraphicsOrganizations,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/WikicatSoftwareCompaniesOfCanada,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Alias_Systems_Corporation,Alias/Wavefront,146,139,1.0,0.0,6,7,== Career == | === Programmer ===
