types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Convert109962414,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Disputant109615465,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Novelist110363573,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Radical110503452,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Reformer110515194,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
http://dbpedia.org/class/yago/Wikicat21st-centuryAmericanNovelists,http://dbpedia.org/resource/Michael_Muhammad_Knight,Blue-Eyed Devil,43,3,1.0,0.0,2,12,== Books == | === Blue-Eyed Devil ===
