types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Thomas_Fisher_Rare_Book_Library,Thomas Fisher Rare Book Library,59,77,1.0,0.0,0,37,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Classical_unities,Unities,111,14,0.9999999999994884,0.0,0,114,== Selected writings == | === Articles ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatPsychologicalConcepts,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatPsychologicalTheories,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Explanation105793000,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Theory105989479,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Affordance,Affordances,143,1,0.99999999999568,0.0,0,118,== Selected writings == | === Articles ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Fearghal_McGarry,Fearghal McGarry,15,16,1.0,0.0,3,128,== Selected writings == | === Articles ===
