types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatDiplomaticConferencesInSingapore,http://dbpedia.org/resource/World_Trade_Organization_Ministerial_Conference_of_1996,WTO Ministerial Conference,7,86,1.0,0.0,6,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/WikicatNationalFootballLeagueAnnouncers,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Announcer109795334,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Presenter110466387,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
http://dbpedia.org/class/yago/WikicatPeopleFromIslington,http://dbpedia.org/resource/Danny_Kelly_(journalist),Danny Kelly,38,65,0.9070342173678244,0.0997229916897517,17,7,== Biography == | === Post-Soundgarden (1997–2010) ===
